fold,train_start,train_end,validation_start,validation_end,horizon
1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,1
2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,1
3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,1
1,2020-01-01 04:00:00,2020-12-31 03:00:00,2020-12-31 04:00:00,2021-03-31 03:00:00,4
2,2020-01-01 04:00:00,2021-06-29 03:00:00,2021-06-29 04:00:00,2021-09-27 03:00:00,4
3,2020-01-01 04:00:00,2021-12-26 03:00:00,2021-12-26 04:00:00,2022-03-26 03:00:00,4
1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,12
2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12
3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,12
1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,24
2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,24
3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,24
