model,horizon,config_id,fold,train_start,train_end,internal_validation_start,internal_validation_end,n_train,n_internal_validation,best_iteration,mae,rmse
catboost,1,base,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,484,5.599398684943943,7.48450135483456
catboost,1,base,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,320,5.8294882650505935,7.897971114624284
catboost,1,base,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,345,6.224547294978023,8.624881050433892
catboost,1,regularized,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,773,5.606462391752136,7.510253587401596
catboost,1,regularized,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,334,5.872926774140709,7.9166839092608985
catboost,1,regularized,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,992,6.191601019729435,8.614784004442777
catboost,1,shallow,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,613,5.580726381128275,7.4687383993958685
catboost,1,shallow,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,386,5.832101971450803,7.913450036720141
catboost,1,shallow,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,985,6.247198386437084,8.65504858301088
catboost,1,deeper,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,1000,5.631227171273557,7.543348549985231
catboost,1,deeper,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,527,5.835971057013232,7.874008282012623
catboost,1,deeper,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,711,6.231353962438986,8.646555642202213
catboost,4,base,1,2020-01-01 04:00:00,2020-12-31 03:00:00,2020-12-31 04:00:00,2021-03-31 03:00:00,8643,2060,276,10.675044226835928,13.466979430824013
catboost,4,base,2,2020-01-01 04:00:00,2021-06-29 03:00:00,2021-06-29 04:00:00,2021-09-27 03:00:00,12749,2109,257,9.648568320008408,12.564247030011398
catboost,4,base,3,2020-01-01 04:00:00,2021-12-26 03:00:00,2021-12-26 04:00:00,2022-03-26 03:00:00,17001,2152,333,11.964222467434055,15.15232921033755
catboost,4,regularized,1,2020-01-01 04:00:00,2020-12-31 03:00:00,2020-12-31 04:00:00,2021-03-31 03:00:00,8643,2060,432,10.665640587919954,13.514472682110176
catboost,4,regularized,2,2020-01-01 04:00:00,2021-06-29 03:00:00,2021-06-29 04:00:00,2021-09-27 03:00:00,12749,2109,506,9.619046997362483,12.544951239084277
catboost,4,regularized,3,2020-01-01 04:00:00,2021-12-26 03:00:00,2021-12-26 04:00:00,2022-03-26 03:00:00,17001,2152,386,12.044545787129191,15.193568234018212
catboost,4,shallow,1,2020-01-01 04:00:00,2020-12-31 03:00:00,2020-12-31 04:00:00,2021-03-31 03:00:00,8643,2060,614,10.781092345621795,13.620808736361614
catboost,4,shallow,2,2020-01-01 04:00:00,2021-06-29 03:00:00,2021-06-29 04:00:00,2021-09-27 03:00:00,12749,2109,367,9.687369281183434,12.600550444760877
catboost,4,shallow,3,2020-01-01 04:00:00,2021-12-26 03:00:00,2021-12-26 04:00:00,2022-03-26 03:00:00,17001,2152,387,12.10579651529572,15.280980061123033
catboost,4,deeper,1,2020-01-01 04:00:00,2020-12-31 03:00:00,2020-12-31 04:00:00,2021-03-31 03:00:00,8643,2060,569,10.622881525580846,13.564320996552773
catboost,4,deeper,2,2020-01-01 04:00:00,2021-06-29 03:00:00,2021-06-29 04:00:00,2021-09-27 03:00:00,12749,2109,407,9.683858534996977,12.573387696226554
catboost,4,deeper,3,2020-01-01 04:00:00,2021-12-26 03:00:00,2021-12-26 04:00:00,2022-03-26 03:00:00,17001,2152,485,11.991549980576284,15.191724946870778
catboost,12,base,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,318,13.022490422345347,16.343407961886683
catboost,12,base,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,305,10.803151813732775,13.950709916261868
catboost,12,base,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,176,14.717650878922544,18.03766942247572
catboost,12,regularized,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,475,12.883940503812468,16.300449257156355
catboost,12,regularized,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,516,10.815232749618856,13.924867096690411
catboost,12,regularized,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,312,14.635334534033337,18.01800250194046
catboost,12,shallow,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,438,12.960727827364764,16.319534876568948
