model,model_display,horizon,method,alpha,nominal_coverage,n_calibration,q_hat,q_level,mean_score,median_score,n_crossed_calibration_prelim,n_crossed_validation_prelim,n_crossed_validation_final
catboost,CatBoost,1,cqr_mapie,0.2,0.8,8607,0.5952297176076371,0.8001626583013826,-2.8422227609227915,-3.5304844298286397,0,0,0
lightgbm,LightGBM,1,cqr_mapie,0.2,0.8,8607,0.42941874086603704,0.8001626583013826,-2.9311680364232164,-3.5232497390083637,0,0,0
linear_regression,Regresión lineal,1,cqr_mapie,0.2,0.8,8607,0.32511817649954367,0.8001626583013826,-3.542575161521666,-4.746153925914086,0,0,0
catboost,CatBoost,4,cqr_mapie,0.2,0.8,8607,1.396580399114434,0.8001626583013826,-4.894311001369844,-5.95274371588043,0,0,0
lightgbm,LightGBM,4,cqr_mapie,0.2,0.8,8607,1.0808004116896726,0.8001626583013826,-5.343809113905423,-6.2023334385950335,0,0,0
linear_regression,Regresión lineal,4,cqr_mapie,0.2,0.8,8607,0.22516229292203604,0.8001626583013826,-7.28970883095332,-8.786328556102873,0,0,0
catboost,CatBoost,12,cqr_mapie,0.2,0.8,8607,2.2859993303623156,0.8001626583013826,-5.1539562141185735,-6.146931174289122,0,0,0
lightgbm,LightGBM,12,cqr_mapie,0.2,0.8,8607,1.5331964480684057,0.8001626583013826,-5.906044864881885,-6.849727785711067,0,0,0
linear_regression,Regresión lineal,12,cqr_mapie,0.2,0.8,8607,0.014376588031282722,0.8001626583013826,-8.103034811402576,-9.603641401467087,0,0,0
catboost,CatBoost,24,cqr_mapie,0.2,0.8,8607,0.6392730834692291,0.8001626583013826,-6.750434620438636,-7.865784253601497,0,0,0
lightgbm,LightGBM,24,cqr_mapie,0.2,0.8,8607,1.301973855983121,0.8001626583013826,-6.27628071772334,-7.26986256272194,0,0,0
linear_regression,Regresión lineal,24,cqr_mapie,0.2,0.8,8607,0.168547287846609,0.8001626583013826,-8.214662597291063,-9.861228282435547,0,0,0
