model,model_display,method,variant,horizon,alpha,nominal_coverage,n_validation,empirical_coverage,coverage_error,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_pct,miss_upper_pct,mean_q_hat
catboost,CatBoost,cqr_mapie,preliminary_quantile_interval,1,0.2,0.8,8437,0.7711271779068389,-0.02887282209316111,18.545045827925374,18.18294299012829,29.687754980849952,19.95935194763264,10.40654260993244,12.480739599383666,0.5952297176076371
lightgbm,LightGBM,cqr_mapie,preliminary_quantile_interval,1,0.2,0.8,8437,0.7740903164631978,-0.02590968353680223,18.825590571883247,18.01091211523753,29.865797101591056,19.80852505178504,10.027260874718502,12.563707478961717,0.42941874086603704
linear_regression,Regresión lineal,cqr_mapie,preliminary_quantile_interval,1,0.2,0.8,8437,0.7934099798506579,-0.0065900201493421795,20.902664043368716,20.50008333116405,32.39068900076599,21.623101463855953,9.517601043024772,11.141400971909446,0.3251181764995437
catboost,CatBoost,cqr_mapie,preliminary_quantile_interval,4,0.2,0.8,8437,0.7394808581249259,-0.06051914187507412,33.05103336223404,32.325323531833114,50.161134183884656,35.687192790968226,11.165106080360317,14.88680810714709,1.396580399114434
lightgbm,LightGBM,cqr_mapie,preliminary_quantile_interval,4,0.2,0.8,8437,0.7537039231954487,-0.04629607680455139,34.8840506779807,34.22511357030318,50.86144725379093,37.23263799011542,10.098376200071115,14.531231480384022,1.0808004116896723
linear_regression,Regresión lineal,cqr_mapie,preliminary_quantile_interval,4,0.2,0.8,8437,0.7931729287661491,-0.0068270712338509565,40.517208679308325,40.02629046360635,54.96960029752354,41.967715878471736,9.114614199359963,11.568092924025128,0.22516229292203602
catboost,CatBoost,cqr_mapie,preliminary_quantile_interval,12,0.2,0.8,8437,0.7150645964205287,-0.08493540357947138,37.408870933178264,36.43044899780931,58.278001798502245,40.64517909894923,10.987317766978784,17.506222590968353,2.285999330362315
lightgbm,LightGBM,cqr_mapie,preliminary_quantile_interval,12,0.2,0.8,8437,0.7353324641460235,-0.06466753585397655,39.84827347442943,38.84114734975631,58.69604805950981,42.68560120146375,9.778357235984354,16.6883963494133,1.533196448068406
linear_regression,Regresión lineal,cqr_mapie,preliminary_quantile_interval,12,0.2,0.8,8437,0.7892615858717553,-0.010738414128244722,45.00083554653886,44.855809169165596,60.402381145487276,47.09151970255506,7.905653668365533,13.168187744458931,0.014376588031282722
catboost,CatBoost,cqr_mapie,preliminary_quantile_interval,24,0.2,0.8,8437,0.7514519378926159,-0.04854806210738416,41.68148235540328,40.479819740118316,59.458732547355645,43.53155004475714,8.711627355695152,16.14317885504326,0.639273083469229
lightgbm,LightGBM,cqr_mapie,preliminary_quantile_interval,24,0.2,0.8,8437,0.7310655446248666,-0.06893445537513343,41.1140845699074,40.12416013093508,60.33444947378662,44.10647839622543,9.38722294654498,17.506222590968353,1.301973855983121
linear_regression,Regresión lineal,cqr_mapie,preliminary_quantile_interval,24,0.2,0.8,8437,0.7833353087590376,-0.01666469124096248,45.56163319608249,45.126386245996805,61.736934855548775,47.65686346502247,7.597487258504208,14.068981865592034,0.168547287846609
catboost,CatBoost,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8025364466042432,0.0025364466042431255,19.732326091813473,19.37022325401638,29.62614664803423,20.852740963242724,8.640512030342538,11.105843309233139,0.5952297176076371
lightgbm,LightGBM,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8006400379281735,0.0006400379281734647,19.67934019417179,18.864661737526077,29.82660926757728,20.477096670913355,8.45087116273557,11.485125044447079,0.42941874086603704
linear_regression,Regresión lineal,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8041958041958042,0.00419580419580412,21.550373727023057,21.14779301481839,32.38695318196103,22.179708981061406,9.031646319781913,10.548773260637667,0.3251181764995437
