year,date,daily_mean_o3,day_of_year,rolling_14d_mean_o3
2020,2020-01-01,13.708333333333334,1,12.732142857142858
2020,2020-01-02,11.291666666666666,2,11.90625
2020,2020-01-03,10.625,3,12.333333333333334
2020,2020-01-04,11.041666666666666,4,11.991666666666667
2020,2020-01-05,14.666666666666666,5,12.734848484848486
2020,2020-01-06,19.416666666666668,6,12.861111111111112
2020,2020-01-07,8.375,7,13.91025641025641
2020,2020-01-08,6.125,8,13.773809523809524
2020,2020-01-09,15.75,9,13.291537267080745
2020,2020-01-10,8.916666666666666,10,13.089156314699792
2020,2020-01-11,20.166666666666668,11,13.94332298136646
2020,2020-01-12,14.25,12,15.17844202898551
2020,2020-01-13,26.5,13,17.803442028985508
2020,2020-01-14,12.0,14,20.297489648033125
2020,2020-01-15,6.956521739130435,15,23.621894409937887
2020,2020-01-16,8.458333333333334,16,26.57129917184265
2020,2020-01-17,22.583333333333332,17,27.496894409937887
2020,2020-01-18,28.333333333333332,18,27.26475155279503
2020,2020-01-19,51.416666666666664,19,27.0564182194617
2020,2020-01-20,54.333333333333336,20,27.69332298136646
2020,2020-01-21,54.916666666666664,21,27.16951345755694
2020,2020-01-22,47.416666666666664,22,27.8689182194617
2020,2020-01-23,28.708333333333332,23,27.854166666666668
2020,2020-01-24,5.666666666666667,24,27.889455782312925
2020,2020-01-25,17.25,25,26.588860544217685
2020,2020-01-26,23.166666666666668,26,25.068027210884356
2020,2020-01-27,19.166666666666668,27,22.5531462585034
2020,2020-01-28,21.791666666666668,28,19.02040816326531
2020,2020-01-29,6.75,29,16.49362244897959
2020,2020-01-30,8.952380952380953,30,15.198979591836736
2020,2020-01-31,4.375,31,14.758503401360544
2020,2020-02-01,7.041666666666667,32,15.27933673469388
2020,2020-02-02,16.208333333333332,33,15.645408163265307
2020,2020-02-03,4.875,34,16.091836734693878
2020,2020-02-04,19.541666666666668,35,16.18112244897959
2020,2020-02-05,29.291666666666668,36,16.2733843537415
2020,2020-02-06,22.541666666666668,37,18.316241496598643
2020,2020-02-07,12.958333333333334,38,19.53392857142857
2020,2020-02-08,22.375,39,20.304761904761904
2020,2020-02-09,29.416666666666668,40,22.21547619047619
2020,2020-02-10,20.416666666666668,41,24.89107142857143
2020,2020-02-11,23.083333333333332,42,26.95654761904762
2020,2020-02-12,35.35,43,27.908928571428568
2020,2020-02-13,26.0,44,27.462500000000002
2020,2020-02-14,15.166666666666666,45,27.923809523809524
2020,2020-02-15,33.791666666666664,46,28.83452380952381
2020,2020-02-16,53.666666666666664,47,29.786904761904765
2020,2020-02-17,33.791666666666664,48,29.572619047619046
2020,2020-02-18,32.875,49,29.569642857142856
2020,2020-02-19,23.041666666666668,50,29.71547619047619
2020,2020-02-20,29.0,51,30.370600414078673
2020,2020-02-21,25.708333333333332,52,32.02833850931677
2020,2020-02-22,35.708333333333336,53,33.114648033126294
2020,2020-02-23,26.416666666666668,54,33.40036231884058
2020,2020-02-24,20.375,55,33.02238612836439
2020,2020-02-25,25.125,56,34.38726708074534
2020,2020-02-26,44.52173913043478,57,35.88131469979296
2020,2020-02-27,49.208333333333336,58,36.530124223602485
2020,2020-02-28,30.375,59,36.60452898550725
2020,2020-02-29,37.791666666666664,60,38.62536231884058
2020,2020-03-01,48.375,61,40.107505175983434
2020,2020-03-02,52.9,62,41.67298136645963
2020,2020-03-03,53.791666666666664,63,42.969177018633545
