year,month,hourly_records,missing_o3_values,missing_o3_percentage
2020,1,744,4,0.5376344086021506
2020,2,696,5,0.7183908045977011
2020,3,744,6,0.8064516129032258
2020,4,720,11,1.5277777777777777
2020,5,744,2,0.2688172043010753
2020,6,720,5,0.6944444444444444
2020,7,744,6,0.8064516129032258
2020,8,744,2,0.2688172043010753
2020,9,720,3,0.4166666666666667
2020,10,744,7,0.9408602150537635
2020,11,720,59,8.194444444444445
2020,12,744,7,0.9408602150537635
2021,1,744,69,9.274193548387096
2021,2,672,23,3.422619047619048
2021,3,744,8,1.0752688172043012
2021,4,720,30,4.166666666666666
2021,5,744,80,10.75268817204301
2021,6,720,4,0.5555555555555556
2021,7,744,44,5.913978494623656
2021,8,744,4,0.5376344086021506
2021,9,720,3,0.4166666666666667
2021,10,744,4,0.5376344086021506
2021,11,720,6,0.8333333333333334
2021,12,744,7,0.9408602150537635
2022,1,744,2,0.2688172043010753
2022,2,672,2,0.2976190476190476
2022,3,744,6,0.8064516129032258
2022,4,720,96,13.333333333333334
2022,5,744,76,10.21505376344086
2022,6,720,15,2.083333333333333
2022,7,744,4,0.5376344086021506
2022,8,744,4,0.5376344086021506
2022,9,720,51,7.083333333333333
2022,10,744,4,0.5376344086021506
2022,11,720,118,16.38888888888889
2022,12,744,10,1.3440860215053763
2023,1,744,4,0.5376344086021506
2023,2,672,8,1.1904761904761905
2023,3,744,6,0.8064516129032258
2023,4,720,6,0.8333333333333334
2023,5,744,8,1.0752688172043012
2023,6,720,52,7.222222222222221
2023,7,744,15,2.0161290322580645
2023,8,744,7,0.9408602150537635
2023,9,720,1,0.1388888888888889
2023,10,744,6,0.8064516129032258
2023,11,720,8,1.1111111111111112
2023,12,744,32,4.301075268817205
2024,1,744,128,17.20430107526882
2024,2,696,4,0.5747126436781609
2024,3,744,3,0.4032258064516129
2024,4,720,34,4.722222222222222
2024,5,744,18,2.4193548387096775
2024,6,720,88,12.222222222222221
2024,7,744,32,4.301075268817205
2024,8,744,5,0.6720430107526881
2024,9,720,9,1.25
2024,10,744,8,1.0752688172043012
2024,11,720,12,1.6666666666666667
2024,12,744,6,0.8064516129032258
2025,1,744,8,1.0752688172043012
2025,2,672,9,1.3392857142857142
2025,3,744,41,5.510752688172043
2025,4,720,17,2.361111111111111
2025,5,744,61,8.198924731182796
2025,6,720,32,4.444444444444445
2025,7,744,100,13.440860215053762
2025,8,744,14,1.881720430107527
2025,9,720,9,1.25
2025,10,744,6,0.8064516129032258
2025,11,720,75,10.416666666666668
2025,12,744,7,0.9408602150537635
