start_timestamp,end_timestamp,length_hours
2020-01-15 15:00:00,2020-01-15 15:00:00,1
2020-01-30 10:00:00,2020-01-30 12:00:00,3
2020-02-12 12:00:00,2020-02-12 15:00:00,4
2020-02-26 15:00:00,2020-02-26 15:00:00,1
2020-03-02 11:00:00,2020-03-02 11:00:00,1
2020-03-02 14:00:00,2020-03-02 16:00:00,3
2020-03-09 13:00:00,2020-03-09 13:00:00,1
2020-03-29 01:00:00,2020-03-29 01:00:00,1
2020-04-06 10:00:00,2020-04-06 11:00:00,2
2020-04-22 15:00:00,2020-04-22 15:00:00,1
2020-04-30 02:00:00,2020-04-30 09:00:00,8
2020-05-06 11:00:00,2020-05-06 11:00:00,1
2020-05-21 15:00:00,2020-05-21 15:00:00,1
2020-06-02 14:00:00,2020-06-02 14:00:00,1
2020-06-03 10:00:00,2020-06-03 11:00:00,2
2020-06-17 12:00:00,2020-06-17 13:00:00,2
2020-07-01 14:00:00,2020-07-01 14:00:00,1
2020-07-14 14:00:00,2020-07-14 15:00:00,2
2020-07-28 12:00:00,2020-07-28 14:00:00,3
2020-08-11 15:00:00,2020-08-11 15:00:00,1
2020-08-27 16:00:00,2020-08-27 16:00:00,1
2020-09-14 14:00:00,2020-09-14 14:00:00,1
2020-09-25 11:00:00,2020-09-25 12:00:00,2
2020-10-08 14:00:00,2020-10-08 15:00:00,2
2020-10-25 02:00:00,2020-10-25 02:00:00,1
2020-10-26 10:00:00,2020-10-26 13:00:00,4
2020-11-06 10:00:00,2020-11-06 13:00:00,4
2020-11-14 08:00:00,2020-11-16 10:00:00,51
2020-11-16 12:00:00,2020-11-16 12:00:00,1
2020-11-20 10:00:00,2020-11-20 12:00:00,3
2020-12-01 11:00:00,2020-12-01 12:00:00,2
2020-12-03 08:00:00,2020-12-03 08:00:00,1
2020-12-03 13:00:00,2020-12-03 13:00:00,1
2020-12-18 10:00:00,2020-12-18 12:00:00,3
2021-01-07 15:00:00,2021-01-07 15:00:00,1
2021-01-18 15:00:00,2021-01-18 15:00:00,1
2021-01-29 05:00:00,2021-02-01 21:00:00,89
