,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ene,52.0,54.0,54.30000000000001,54.900000000000034,56.60000000000002,52.400000000000006,50.0,44.0,37.5,43.0,46.0,46.599999999999994,50.8,53.70000000000002,57.0,58.0,54.5,51.400000000000006,47.80000000000001,46.400000000000006,46.80000000000001,49.400000000000006,51.60000000000002,50.400000000000006
Feb,59.0,60.0,58.0,62.0,60.0,58.0,51.0,45.0,39.0,43.10000000000001,52.0,59.5,62.0,67.2,72.3,73.0,76.0,73.0,62.0,60.0,58.0,57.0,55.900000000000006,54.900000000000006
Mar,79.0,80.0,80.6,78.6,79.19999999999999,77.6,69.6,62.599999999999994,60.19999999999999,64.6,70.9,76.0,80.40000000000003,85.0,89.0,88.0,89.40000000000003,86.19999999999999,83.6,81.19999999999999,80.0,79.0,77.6,76.0
Abr,81.0,82.0,80.40000000000003,80.8,76.0,74.0,69.9,66.0,61.0,68.0,71.0,74.0,88.0,94.20000000000002,96.0,100.0,100.0,99.40000000000003,97.0,92.0,86.0,86.70000000000002,85.70000000000002,85.0
May,73.20000000000002,71.0,67.30000000000001,67.0,65.0,64.0,60.0,52.0,54.0,61.0,66.8,77.0,79.0,82.8,88.0,93.30000000000001,91.0,89.40000000000003,85.20000000000002,85.0,80.0,77.20000000000002,78.0,75.30000000000001
Jun,74.0,71.70000000000002,71.0,66.70000000000002,66.70000000000002,61.0,56.70000000000002,54.0,58.70000000000002,61.0,69.60000000000001,76.0,82.0,88.0,88.0,93.70000000000002,88.70000000000002,89.0,85.5,83.5,80.0,77.5,76.6,76.0
Jul,67.0,66.0,65.0,61.0,59.900000000000006,59.0,53.80000000000001,50.0,53.0,60.0,68.60000000000002,76.0,82.0,89.5,89.40000000000003,89.1,87.0,87.80000000000001,84.80000000000001,77.0,73.0,72.80000000000001,71.0,70.9
Ago,75.0,74.6,72.0,71.6,68.6,67.0,61.39999999999998,55.19999999999999,59.0,67.80000000000001,74.1,81.0,88.0,92.0,96.80000000000001,97.70000000000002,95.0,92.6,88.6,85.0,79.0,79.6,80.0,78.0
Sep,70.30000000000001,70.30000000000001,68.0,66.0,63.0,60.30000000000001,55.0,50.30000000000001,49.30000000000001,54.20000000000002,64.6,71.0,76.0,83.0,85.4,90.0,89.30000000000001,87.30000000000001,84.0,77.0,73.0,72.0,73.30000000000001,72.0
Oct,60.0,60.599999999999994,60.099999999999994,60.0,60.599999999999994,56.19999999999999,54.79999999999998,46.599999999999994,42.19999999999999,42.70000000000002,52.0,58.0,65.1,69.0,73.0,79.0,79.70000000000002,74.6,68.6,65.6,63.0,62.0,62.599999999999994,60.0
Nov,50.0,52.0,50.0,52.0,52.0,52.8,48.8,41.0,37.0,42.0,47.8,51.0,54.5,57.0,60.0,60.900000000000006,61.8,55.0,50.0,48.599999999999994,45.599999999999994,45.0,48.0,49.0
Dic,48.70000000000002,50.70000000000002,51.0,52.70000000000002,52.70000000000002,50.70000000000002,47.70000000000002,46.0,40.0,41.099999999999994,42.0,44.0,46.30000000000001,51.0,52.0,54.0,54.0,47.400000000000034,45.400000000000034,40.70000000000002,42.10000000000005,43.70000000000002,45.70000000000002,46.70000000000002
