hour,count,mean,median,std,q25,q75,p95,max
0,1788,40.40939597315436,43.0,23.962901776003346,21.0,59.0,77.0,117.0
1,1783,40.50644980370163,43.0,23.32226379834765,23.0,58.0,75.0,112.0
2,1781,39.387984278495225,41.0,22.849641686561444,22.0,56.0,75.0,106.0
3,1787,38.498601007274765,41.0,22.79565913303142,21.0,55.0,75.0,101.0
4,1787,38.16564073866816,41.0,22.61569694330558,21.0,54.0,74.0,101.0
5,1785,36.00056022408964,38.0,21.929322357477673,18.0,52.0,70.0,99.0
6,1785,31.14173669467787,32.0,21.026770527609912,12.0,47.0,66.0,102.0
7,1784,24.756165919282513,22.0,19.302924089191634,6.0,39.0,58.0,102.0
8,1778,24.561867266591676,22.0,19.09732344751827,7.0,38.0,59.149999999999864,101.0
9,1763,30.66761202495746,30.0,19.832917589635368,14.0,44.0,65.0,105.0
10,1727,38.17486971627099,39.0,20.155093743081476,23.0,52.0,71.0,113.0
11,1721,45.331202789076116,46.0,19.887901172049343,31.0,59.0,77.0,127.0
12,1716,51.353729603729604,52.0,20.48152529012977,37.0,66.0,84.0,140.0
13,1742,55.96727898966705,57.0,21.15595566322543,41.0,71.0,89.94999999999982,141.0
14,1760,60.09090909090909,62.0,21.169924263385646,46.0,75.0,93.0,129.0
15,1767,62.98189020939446,65.0,21.600713838382514,49.0,78.0,96.0,131.0
16,1781,61.31274564851207,64.0,22.724297750286937,46.0,78.0,94.0,128.0
17,1788,57.543064876957494,61.0,24.24060613954561,42.0,75.0,92.0,130.0
18,1790,53.254189944134076,57.0,25.238751996363433,37.0,72.0,89.0,128.0
19,1790,48.95418994413408,53.0,25.166458059836003,32.0,68.0,85.0,119.0
20,1790,45.69553072625698,50.0,24.676023356708914,28.0,64.0,81.0,107.0
21,1790,44.26815642458101,49.0,24.735349169876887,26.0,63.0,80.0,106.0
22,1790,43.38379888268157,47.0,24.55021126603909,25.0,62.0,80.0,106.0
23,1788,41.72203579418345,45.0,24.281584140368885,23.0,60.0,78.64999999999986,103.0
