month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,22.013513513513512,24.513513513513512,25.472972972972972,26.75,27.41216216216216,26.857142857142858,22.72108843537415,16.79591836734694,14.061643835616438,16.801369863013697,21.586206896551722,28.075862068965517,33.11888111888112,34.21527777777778,37.51724137931034,38.93706293706294,35.49315068493151,29.58503401360544,23.19047619047619,18.877551020408163,17.768707482993197,19.13605442176871,20.040816326530614,21.1156462585034
2,26.97163120567376,28.49645390070922,29.24822695035461,29.865248226950353,29.75177304964539,27.77304964539007,24.085106382978722,17.81560283687943,15.652482269503546,20.107142857142858,29.528985507246375,37.80882352941177,41.47445255474452,46.89928057553957,52.30434782608695,54.726618705035975,52.86524822695036,48.269503546099294,41.6241134751773,36.794326241134755,32.56737588652482,29.390070921985817,28.704225352112676,27.443661971830984
3,49.23870967741936,48.58,47.81935483870968,47.748387096774195,48.39354838709677,46.038709677419355,39.14193548387097,30.883870967741935,30.858064516129033,37.85806451612903,46.4671052631579,53.52980132450331,60.18791946308725,65.23178807947019,70.04635761589404,71.88888888888889,70.65584415584415,67.58709677419355,62.79354838709678,56.89032258064516,55.090322580645164,53.43225806451613,53.0,50.16774193548387
4,56.95172413793104,55.9448275862069,52.604166666666664,51.85314685314685,49.31468531468531,45.66901408450704,40.056338028169016,31.429577464788732,31.08450704225352,39.8936170212766,48.630434782608695,55.751773049645394,64.88652482269504,71.5,76.38028169014085,80.72340425531915,81.04895104895105,78.77777777777777,76.43055555555556,72.4375,68.63888888888889,66.57638888888889,63.6875,60.826388888888886
5,49.57046979865772,46.84563758389262,42.932432432432435,40.899328859060404,38.79194630872483,37.006711409395976,32.04026845637584,26.174496644295303,29.859060402684563,38.734693877551024,44.76223776223776,53.09489051094891,58.71739130434783,65.25174825174825,70.3758389261745,74.55405405405405,73.98657718120805,71.63087248322148,69.3489932885906,65.3489932885906,60.281879194630875,58.852348993288594,57.422818791946305,54.07432432432432
6,51.388888888888886,49.638888888888886,46.65972222222222,43.36805555555556,42.8125,37.65277777777778,33.138888888888886,29.770833333333332,32.8125,38.79577464788732,47.50370370370371,55.90510948905109,62.54744525547445,67.49645390070921,70.0354609929078,73.1875,71.89583333333333,69.78620689655172,67.05479452054794,63.57534246575342,60.636986301369866,58.9041095890411,55.61379310344827,53.48275862068966
7,49.205298013245034,48.01324503311258,45.35099337748344,42.0328947368421,40.401315789473685,37.171052631578945,31.789473684210527,27.821192052980134,31.1523178807947,38.75333333333333,46.689189189189186,54.932432432432435,61.11267605633803,66.37671232876713,68.66442953020135,70.96,69.95424836601308,68.45098039215686,65.6797385620915,60.888888888888886,56.54248366013072,55.07843137254902,53.84313725490196,51.651315789473685
8,51.86451612903226,50.58709677419355,49.03225806451613,47.064516129032256,46.58709677419355,43.806451612903224,38.72258064516129,32.41290322580645,35.22077922077922,43.63815789473684,50.45333333333333,57.86577181208054,66.49673202614379,72.12337662337663,76.09150326797386,78.31168831168831,76.98051948051948,74.07741935483871,70.34193548387097,66.3225806451613,62.33548387096774,60.10322580645161,58.148387096774194,54.903225806451616
9,48.520270270270274,48.229729729729726,46.29054054054054,44.37162162162162,43.027027027027025,40.9527027027027,36.12837837837838,27.554054054054053,24.39189189189189,33.17687074829932,41.61379310344827,48.701388888888886,55.267605633802816,61.53846153846154,67.31972789115646,72.02013422818791,71.87162162162163,68.9054054054054,64.38513513513513,59.3445945945946,54.87162162162162,53.270270270270274,52.060810810810814,49.891891891891895
10,33.49677419354839,34.36129032258064,34.0,32.883870967741935,34.83225806451613,33.45161290322581,28.10322580645161,19.941935483870967,17.53548387096774,21.805194805194805,31.072847682119207,39.13245033112583,45.473333333333336,50.0,55.66013071895425,60.294117647058826,58.87662337662338,55.038709677419355,50.36774193548387,45.49677419354839,41.94838709677419,39.29032258064516,38.6258064516129,34.38709677419355
11,25.412587412587413,28.51048951048951,29.307692307692307,30.426573426573427,31.034965034965033,30.006993006993007,26.34965034965035,19.321678321678323,16.58450704225352,19.827338129496404,27.49624060150376,31.91044776119403,35.51470588235294,37.91489361702128,40.84615384615385,42.20422535211268,37.41258741258741,31.204225352112676,25.874125874125873,22.755244755244757,20.965034965034967,20.517482517482517,21.195804195804197,23.104895104895103
12,19.733766233766232,22.194805194805195,23.415584415584416,24.5,25.227272727272727,25.084415584415584,21.07792207792208,16.818181818181817,14.76158940397351,17.773333333333333,21.973154362416107,26.85810810810811,30.844594594594593,32.64666666666667,34.84563758389262,36.47019867549669,33.56578947368421,26.006493506493506,20.75974025974026,17.61038961038961,15.577922077922079,15.545454545454545,17.24025974025974,19.0
