hour,mean_absolute_residual,median_absolute_residual,p95_absolute_residual,max_absolute_residual
0,18.89217391304348,15.0,49.0,86.0
1,19.03216374269006,15.0,49.0,92.0
2,19.235777126099705,16.0,51.0,98.0
3,19.168408826945413,15.0,51.0,89.0
4,18.735191637630663,14.0,50.0,83.0
5,18.750873108265424,14.5,50.0,83.0
6,18.243306169965077,15.0,49.0,85.0
7,16.446969696969695,13.0,45.0,79.0
8,15.473529411764705,12.0,44.0,78.0
9,15.67833433916717,13.0,42.0,87.0
10,15.692159383033419,13.0,40.0,71.0
11,14.994781474233529,12.0,38.0,83.0
12,14.020408163265307,11.0,37.0,79.0
13,13.710873664362037,11.0,36.0,74.0
14,13.30670731707317,11.0,35.0,62.0
15,13.493365500603137,11.0,36.0,76.0
16,13.896470588235294,11.0,37.0,69.0
17,14.300232288037167,12.0,36.0,73.0
18,14.438982070561018,11.0,39.0,85.0
19,14.906882591093117,12.0,39.0,67.0
20,15.117408906882591,12.0,40.59999999999991,66.0
21,15.708502024291498,12.0,43.0,87.0
22,16.695777906304222,13.0,45.0,85.0
23,18.052723059096177,14.0,49.0,87.0
