hour,2020,2021,2022,2023,2024
0,51.91304347826087,53.29545454545455,47.093023255813954,50.01086956521739,56.69230769230769
1,49.10989010989011,50.632183908045974,47.44705882352941,48.18681318681319,56.522222222222226
2,44.21978021978022,47.39772727272727,43.65882352941176,48.880434782608695,54.26373626373626
3,43.67032967032967,48.51136363636363,41.67058823529412,48.05434782608695,51.69230769230769
4,41.252747252747255,47.61363636363637,41.61176470588235,46.22826086956522,50.53846153846154
5,39.08791208791209,43.61363636363637,39.62352941176471,43.18478260869565,48.87777777777778
6,33.9010989010989,37.02272727272727,34.31764705882353,36.28260869565217,43.67777777777778
7,28.36263736263736,26.886363636363637,26.388235294117646,29.608695652173914,35.955555555555556
8,30.912087912087912,27.693181818181817,28.152941176470588,30.16304347826087,35.86666666666667
9,40.26373626373626,33.84090909090909,36.16470588235294,38.46153846153846,45.125
10,46.956043956043956,39.207317073170735,46.142857142857146,45.28089887640449,54.95402298850575
11,54.69662921348315,48.048780487804876,55.135802469135804,51.69662921348315,60.71590909090909
12,62.80434782608695,55.963855421686745,61.975,58.632183908045974,66.72093023255815
13,68.24175824175825,63.01190476190476,67.09876543209876,66.17045454545455,71.44444444444444
14,72.54945054945055,68.1590909090909,71.1951219512195,72.45054945054945,76.42222222222222
15,76.43820224719101,72.33333333333333,73.38823529411765,75.87912087912088,79.73333333333333
16,77.24175824175825,71.38202247191012,73.2235294117647,75.73626373626374,77.74444444444444
17,76.3804347826087,68.53932584269663,71.02352941176471,72.22826086956522,74.26666666666667
18,73.79347826086956,65.5340909090909,68.19767441860465,67.94565217391305,71.11111111111111
19,70.44565217391305,61.27272727272727,63.08139534883721,62.16304347826087,66.32222222222222
20,68.04347826086956,57.97727272727273,59.23255813953488,57.57608695652174,62.8
21,63.90217391304348,56.80681818181818,57.77906976744186,56.119565217391305,62.53333333333333
22,60.30434782608695,56.57954545454545,55.395348837209305,55.98913043478261,61.111111111111114
23,57.30434782608695,54.94252873563219,50.906976744186046,52.31521739130435,58.833333333333336
