model,model_display,horizon,bootstrap_id,n_train,n_bootstrap_rows,n_unique_bootstrap_rows,n_oob_rows,block_length,seed
lightgbm,LightGBM,1,0,25516,25516,16034,9482,24,1042
lightgbm,LightGBM,1,1,25516,25516,16135,9381,24,1043
lightgbm,LightGBM,1,2,25516,25516,15929,9587,24,1044
lightgbm,LightGBM,1,3,25516,25516,16158,9358,24,1045
lightgbm,LightGBM,1,4,25516,25516,16190,9326,24,1046
lightgbm,LightGBM,1,5,25516,25516,16370,9146,24,1047
lightgbm,LightGBM,1,6,25516,25516,16162,9354,24,1048
lightgbm,LightGBM,1,7,25516,25516,15968,9548,24,1049
lightgbm,LightGBM,1,8,25516,25516,16165,9351,24,1050
lightgbm,LightGBM,1,9,25516,25516,16391,9125,24,1051
lightgbm,LightGBM,1,10,25516,25516,16034,9482,24,1052
lightgbm,LightGBM,1,11,25516,25516,15986,9530,24,1053
lightgbm,LightGBM,1,12,25516,25516,16246,9270,24,1054
lightgbm,LightGBM,1,13,25516,25516,16012,9504,24,1055
lightgbm,LightGBM,1,14,25516,25516,15860,9656,24,1056
lightgbm,LightGBM,1,15,25516,25516,16158,9358,24,1057
lightgbm,LightGBM,1,16,25516,25516,16163,9353,24,1058
lightgbm,LightGBM,1,17,25516,25516,16230,9286,24,1059
lightgbm,LightGBM,1,18,25516,25516,16166,9350,24,1060
lightgbm,LightGBM,1,19,25516,25516,15748,9768,24,1061
lightgbm,LightGBM,4,0,25513,25513,16055,9458,24,4042
lightgbm,LightGBM,4,1,25513,25513,16120,9393,24,4043
lightgbm,LightGBM,4,2,25513,25513,15887,9626,24,4044
lightgbm,LightGBM,4,3,25513,25513,15972,9541,24,4045
lightgbm,LightGBM,4,4,25513,25513,15961,9552,24,4046
lightgbm,LightGBM,4,5,25513,25513,16310,9203,24,4047
lightgbm,LightGBM,4,6,25513,25513,16139,9374,24,4048
lightgbm,LightGBM,4,7,25513,25513,16153,9360,24,4049
lightgbm,LightGBM,4,8,25513,25513,16321,9192,24,4050
lightgbm,LightGBM,4,9,25513,25513,16134,9379,24,4051
lightgbm,LightGBM,4,10,25513,25513,16099,9414,24,4052
lightgbm,LightGBM,4,11,25513,25513,16277,9236,24,4053
lightgbm,LightGBM,4,12,25513,25513,16294,9219,24,4054
lightgbm,LightGBM,4,13,25513,25513,16217,9296,24,4055
lightgbm,LightGBM,4,14,25513,25513,16133,9380,24,4056
lightgbm,LightGBM,4,15,25513,25513,16131,9382,24,4057
lightgbm,LightGBM,4,16,25513,25513,16262,9251,24,4058
lightgbm,LightGBM,4,17,25513,25513,16124,9389,24,4059
lightgbm,LightGBM,4,18,25513,25513,15892,9621,24,4060
lightgbm,LightGBM,4,19,25513,25513,15979,9534,24,4061
lightgbm,LightGBM,12,0,25505,25505,16288,9217,24,12042
lightgbm,LightGBM,12,1,25505,25505,15959,9546,24,12043
lightgbm,LightGBM,12,2,25505,25505,15861,9644,24,12044
lightgbm,LightGBM,12,3,25505,25505,16223,9282,24,12045
lightgbm,LightGBM,12,4,25505,25505,16035,9470,24,12046
lightgbm,LightGBM,12,5,25505,25505,16173,9332,24,12047
lightgbm,LightGBM,12,6,25505,25505,16053,9452,24,12048
lightgbm,LightGBM,12,7,25505,25505,16059,9446,24,12049
lightgbm,LightGBM,12,8,25505,25505,16184,9321,24,12050
