model,model_display,horizon,n_features,features,n_train,n_eval,train_splits,evaluation_split,n_resamplings,n_blocks,overlapping_blocks,optimize_beta,respect_target_delay_in_online_update,force_median_imputation
baseline_seasonal_naive,Modelo base ingenuo estacional,1,1,['o3_prev_day_same_hour'],33520,8265,train+calibration,validation,10,10,False,False,True,False
catboost,CatBoost,1,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34123,8437,train+calibration,validation,10,10,False,False,True,False
lightgbm,LightGBM,1,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34123,8437,train+calibration,validation,10,10,False,False,True,False
linear_regression,Regresión lineal,1,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34123,8437,train+calibration,validation,10,10,False,False,True,False
baseline_seasonal_naive,Modelo base ingenuo estacional,4,1,['o3_prev_day_same_hour'],33520,8265,train+calibration,validation,10,10,False,False,True,False
catboost,CatBoost,4,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34120,8437,train+calibration,validation,10,10,False,False,True,False
lightgbm,LightGBM,4,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34120,8437,train+calibration,validation,10,10,False,False,True,False
linear_regression,Regresión lineal,4,21,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_prev_day_same_hour', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34120,8437,train+calibration,validation,10,10,False,False,True,False
baseline_seasonal_naive,Modelo base ingenuo estacional,12,1,['o3_prev_day_same_hour'],33520,8265,train+calibration,validation,10,10,False,False,True,False
catboost,CatBoost,12,20,"['target_hour_sin', 'target_hour_cos', 'target_dayofweek_sin', 'target_dayofweek_cos', 'target_month_sin', 'target_month_cos', 'target_is_weekend', 'o3_at_origin', 'o3_lag_1h', 'o3_lag_2h', 'o3_lag_3h', 'o3_lag_6h', 'o3_lag_12h', 'o3_target_lag_48h', 'o3_roll_mean_6h', 'o3_roll_mean_24h', 'o3_roll_std_6h', 'o3_roll_std_24h', 'o3_roll_max_24h', 'o3_roll_missing_ratio_24h']",34112,8437,train+calibration,validation,10,10,False,False,True,False
