model,model_display,method,method_display,label,horizon,alpha,nominal_coverage,n_samples,empirical_coverage,coverage_error,coverage_abs_error,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_rate,miss_upper_rate,target_start,target_end,rank_interval_score,baseline_coverage,baseline_mean_width,baseline_mean_interval_score,delta_coverage_vs_baseline,width_reduction_vs_baseline,interval_score_reduction_vs_baseline
catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,1,0.2,0.8,8265,0.8016938898971567,0.0016938898971566863,0.0016938898971566863,19.75918528445641,19.398278886506695,29.74014381906219,20.904456644129226,0.08747731397459166,0.11082879612825167,2024-01-01,2024-12-31 23:00:00,1,0.7996370235934664,54.0,79.19540229885058,0.0020568663036902857,34.24081471554359,49.45525847978839
lightgbm,LightGBM,cqr_mapie,CQR,LightGBM + CQR,1,0.2,0.8,8265,0.7986690865093768,-0.0013309134906231979,0.0013309134906231979,19.686817398091893,18.87503607808793,29.96059967094688,20.533629576019358,0.08566243194192377,0.11566848154869934,2024-01-01,2024-12-31 23:00:00,2,0.7996370235934664,54.0,79.19540229885058,-0.0009679370840895984,34.31318260190811,49.234802627903704
linear_regression,Regresión lineal,cqr_mapie,CQR,Regresión lineal + CQR,1,0.2,0.8,8265,0.8030248033877798,0.003024803387779773,0.003024803387779773,21.546905640826004,21.13069017988925,32.48164840048542,22.179095152860064,0.0912280701754386,0.10574712643678161,2024-01-01,2024-12-31 23:00:00,3,0.7996370235934664,54.0,79.19540229885058,0.0033877797943133725,32.453094359173996,46.71375389836516
catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,4,0.2,0.8,8265,0.7898366606170599,-0.010163339382940118,0.010163339382940118,35.90222955022643,35.158397479057754,49.88577317776861,37.56855736422958,0.08433151845130067,0.12583182093163944,2024-01-01,2024-12-31 23:00:00,1,0.7996370235934664,54.0,79.19540229885058,-0.009800362976406518,18.09777044977357,29.30962912108197
lightgbm,LightGBM,cqr_mapie,CQR,LightGBM + CQR,4,0.2,0.8,8265,0.7945553539019964,-0.005444646098003658,0.005444646098003658,37.051857629978784,36.366694746001116,50.825581634108666,38.859642011838865,0.07852389594676346,0.12692075015124016,2024-01-01,2024-12-31 23:00:00,2,0.7996370235934664,54.0,79.19540229885058,-0.005081669691470059,16.948142370021216,28.369820664741916
linear_regression,Regresión lineal,cqr_mapie,CQR,Regresión lineal + CQR,4,0.2,0.8,8265,0.7973381730187538,-0.0026618269812462847,0.0026618269812462847,40.98559931502227,40.48592072921724,55.085028838062165,42.347507422542705,0.08905021173623714,0.11361161524500907,2024-01-01,2024-12-31 23:00:00,3,0.7996370235934664,54.0,79.19540229885058,-0.0022988505747126853,13.01440068497773,24.110373460788416
catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,12,0.2,0.8,8265,0.7958862673926195,-0.004113732607380571,0.004113732607380571,42.20673945803715,41.204202274981995,57.559336952247286,43.88826136027221,0.07114337568058077,0.13297035692679976,2024-01-01,2024-12-31 23:00:00,1,0.7996370235934664,54.0,79.19540229885058,-0.003750756200846972,11.793260541962852,21.636065346603296
lightgbm,LightGBM,cqr_mapie,CQR,LightGBM + CQR,12,0.2,0.8,8265,0.7922565033272837,-0.0077434966727163435,0.0077434966727163435,42.94378301613323,41.94448274351038,58.315127353480705,44.95420272712253,0.0676346037507562,0.14010889292196008,2024-01-01,2024-12-31 23:00:00,2,0.7996370235934664,54.0,79.19540229885058,-0.007380520266182744,11.056216983866769,20.880274945369877
linear_regression,Regresión lineal,cqr_mapie,CQR,Regresión lineal + CQR,12,0.2,0.8,8265,0.7893526920750151,-0.010647307924984917,0.010647307924984917,45.033952122836325,44.87328424223701,60.487197602604375,47.08369607584289,0.07961282516636418,0.1310344827586207,2024-01-01,2024-12-31 23:00:00,3,0.7996370235934664,54.0,79.19540229885058,-0.010284331518451317,8.966047877163675,18.708204696246206
catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,24,0.2,0.8,8265,0.779189352692075,-0.020810647307925034,0.020810647307925034,43.0097291339108,41.77972877792841,59.23702994999188,44.41022162145334,0.07223230490018148,0.1485783424077435,2024-01-01,2024-12-31 23:00:00,1,0.7996370235934664,54.0,79.19540229885058,-0.020447670901391435,10.990270866089197,19.958372348858703
lightgbm,LightGBM,cqr_mapie,CQR,LightGBM + CQR,24,0.2,0.8,8265,0.7830611010284332,-0.016938898971566863,0.016938898971566863,43.746713100141946,42.755604771525725,59.97123871615212,45.815954197524206,0.06545674531155475,0.1514821536600121,2024-01-01,2024-12-31 23:00:00,2,0.7996370235934664,54.0,79.19540229885058,-0.016575922565033263,10.253286899858054,19.22416358269846
linear_regression,Regresión lineal,cqr_mapie,CQR,Regresión lineal + CQR,24,0.2,0.8,8265,0.78681185722928,-0.013188142770720002,0.013188142770720002,45.915811189892366,45.480563875369185,61.79438766875681,47.975341418659525,0.07525710828796128,0.13793103448275862,2024-01-01,2024-12-31 23:00:00,3,0.7996370235934664,54.0,79.19540229885058,-0.012825166364186402,8.084188810107634,17.40101463009377
