model,horizon,config_id,fold,train_start,train_end,internal_validation_start,internal_validation_end,n_train,n_internal_validation,best_iteration,mae,rmse
lightgbm,1,base,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,186,5.663371478218699,7.536339374206479
lightgbm,1,base,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,73,5.899886549967972,7.959750236929878
lightgbm,1,base,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,128,6.238612194370669,8.696854320328724
lightgbm,1,regularized,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,166,5.6776539137766004,7.561028528863254
lightgbm,1,regularized,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,108,5.880507786462083,7.981277254838245
lightgbm,1,regularized,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,161,6.2150360367257385,8.649272368433277
lightgbm,1,small_leaves,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,491,5.63641115309643,7.515661108542368
lightgbm,1,small_leaves,2,2020-01-01 01:00:00,2021-06-29 00:00:00,2021-06-29 01:00:00,2021-09-27 00:00:00,12749,2109,213,5.856859075371462,7.934463169068753
lightgbm,1,small_leaves,3,2020-01-01 01:00:00,2021-12-26 00:00:00,2021-12-26 01:00:00,2022-03-26 00:00:00,17001,2152,404,6.21825098010429,8.649999751847435
lightgbm,1,larger_leaves,1,2020-01-01 01:00:00,2020-12-31 00:00:00,2020-12-31 01:00:00,2021-03-31 00:00:00,8643,2060,116,5.724313845884827,7.594560376127694
