model,horizon,feature,importance_gain,importance_split
lightgbm,1,target_hour_sin,912314.6844482422,304
lightgbm,1,target_hour_cos,5599409.57623291,611
lightgbm,1,target_dayofweek_sin,277366.0961608887,141
lightgbm,1,target_dayofweek_cos,32134.870178222656,48
lightgbm,1,target_month_sin,114437.02188110352,113
lightgbm,1,target_month_cos,330306.5478515625,193
lightgbm,1,target_is_weekend,29728.471252441406,12
lightgbm,1,o3_at_origin,200556149.41497803,1194
lightgbm,1,o3_lag_1h,5189760.809234619,505
lightgbm,1,o3_lag_2h,242147.74575805664,235
lightgbm,1,o3_lag_3h,127943.07525634766,162
lightgbm,1,o3_lag_6h,171167.85424804688,194
lightgbm,1,o3_lag_12h,157809.98233032227,219
lightgbm,1,o3_prev_day_same_hour,1678959.575302124,289
lightgbm,1,o3_target_lag_48h,353613.19149398804,246
lightgbm,1,o3_roll_mean_6h,187863.18670654297,137
lightgbm,1,o3_roll_mean_24h,600435.5542144775,221
lightgbm,1,o3_roll_std_6h,320686.58825683594,296
lightgbm,1,o3_roll_std_24h,609572.8730163574,337
lightgbm,1,o3_roll_max_24h,529594.0671386719,192
lightgbm,1,o3_roll_missing_ratio_24h,1580.7409973144531,3
lightgbm,4,target_hour_sin,6749993.6482543945,331
lightgbm,4,target_hour_cos,18060042.509765625,480
lightgbm,4,target_dayofweek_sin,2660456.982055664,230
lightgbm,4,target_dayofweek_cos,497605.44982910156,89
lightgbm,4,target_month_sin,1115376.8373413086,171
lightgbm,4,target_month_cos,2215823.789916992,215
lightgbm,4,target_is_weekend,208856.57958984375,14
lightgbm,4,o3_at_origin,52253403.1149292,582
lightgbm,4,o3_lag_1h,474088.58752441406,81
lightgbm,4,o3_lag_2h,271778.50064086914,77
lightgbm,4,o3_lag_3h,433981.9285888672,95
lightgbm,4,o3_lag_6h,1011623.8016357422,192
lightgbm,4,o3_lag_12h,697722.2720336914,161
lightgbm,4,o3_prev_day_same_hour,68116585.5734253,333
lightgbm,4,o3_target_lag_48h,9408410.887207031,234
lightgbm,4,o3_roll_mean_6h,716189.8194580078,83
lightgbm,4,o3_roll_mean_24h,3254353.7321777344,254
lightgbm,4,o3_roll_std_6h,1059747.3082885742,166
lightgbm,4,o3_roll_std_24h,1930787.1998901367,322
lightgbm,4,o3_roll_max_24h,2593005.9326171875,226
lightgbm,4,o3_roll_missing_ratio_24h,32852.39990234375,10
lightgbm,12,target_hour_sin,7634152.269042969,241
lightgbm,12,target_hour_cos,3598345.682861328,264
lightgbm,12,target_dayofweek_sin,2375966.8298339844,235
lightgbm,12,target_dayofweek_cos,748232.560546875,98
lightgbm,12,target_month_sin,2461356.2713623047,229
lightgbm,12,target_month_cos,3316879.5444335938,228
lightgbm,12,target_is_weekend,510598.201171875,40
lightgbm,12,o3_at_origin,2692871.022705078,196
lightgbm,12,o3_lag_1h,382195.8293457031,61
lightgbm,12,o3_lag_2h,274767.03955078125,38
lightgbm,12,o3_lag_3h,255158.1905517578,49
lightgbm,12,o3_lag_6h,618288.6972045898,109
lightgbm,12,o3_lag_12h,36343502.35925293,209
lightgbm,12,o3_target_lag_48h,11981079.623596191,226
lightgbm,12,o3_roll_mean_6h,1148123.6267089844,137
lightgbm,12,o3_roll_mean_24h,5101412.561950684,302
lightgbm,12,o3_roll_std_6h,705295.7964782715,136
lightgbm,12,o3_roll_std_24h,1603724.194946289,251
lightgbm,12,o3_roll_max_24h,4660207.111022949,279
lightgbm,12,o3_roll_missing_ratio_24h,147584.3797607422,34
lightgbm,24,target_hour_sin,5330146.114990234,196
lightgbm,24,target_hour_cos,3089240.678466797,239
lightgbm,24,target_dayofweek_sin,2322123.8095703125,220
lightgbm,24,target_dayofweek_cos,695025.4493408203,93
lightgbm,24,target_month_sin,3293191.6950683594,248
lightgbm,24,target_month_cos,4079966.2114257812,254
lightgbm,24,target_is_weekend,635925.4658203125,43
lightgbm,24,o3_at_origin,43999078.68310547,158
lightgbm,24,o3_lag_1h,5771952.418823242,43
lightgbm,24,o3_lag_2h,266061.0206298828,35
lightgbm,24,o3_lag_3h,292569.46923828125,43
lightgbm,24,o3_lag_6h,531765.6888427734,79
lightgbm,24,o3_lag_12h,597244.7115478516,86
lightgbm,24,o3_target_lag_48h,4613030.095458984,194
lightgbm,24,o3_roll_mean_6h,607187.3414306641,66
lightgbm,24,o3_roll_mean_24h,1655906.9204101562,236
lightgbm,24,o3_roll_std_6h,384732.8088378906,76
lightgbm,24,o3_roll_std_24h,1523887.849243164,243
lightgbm,24,o3_roll_max_24h,2618505.176635742,283
lightgbm,24,o3_roll_missing_ratio_24h,269389.1184082031,45
