model,horizon,feature,coefficient_standardized,abs_coefficient_standardized
linear_regression,1,target_hour_sin,-0.5904207439317329,0.5904207439317329
linear_regression,1,target_hour_cos,-1.2654602977804625,1.2654602977804625
linear_regression,1,target_dayofweek_sin,0.2572336033420568,0.2572336033420568
linear_regression,1,target_dayofweek_cos,-0.24213812132397292,0.24213812132397292
linear_regression,1,target_month_sin,0.2528987501718826,0.2528987501718826
linear_regression,1,target_month_cos,-0.35145570951134425,0.35145570951134425
linear_regression,1,target_is_weekend,0.8028906581164694,0.8028906581164694
linear_regression,1,o3_at_origin,25.761988275690133,25.761988275690133
linear_regression,1,o3_lag_1h,-4.901705556015001,4.901705556015001
linear_regression,1,o3_lag_2h,0.45812848531391415,0.45812848531391415
linear_regression,1,o3_lag_3h,-0.13456097983438114,0.13456097983438114
linear_regression,1,o3_lag_6h,-0.3490288491421123,0.3490288491421123
linear_regression,1,o3_lag_12h,-1.0783762573311961,1.0783762573311961
linear_regression,1,o3_prev_day_same_hour,0.7500428458836903,0.7500428458836903
linear_regression,1,o3_target_lag_48h,0.7607345428664118,0.7607345428664118
linear_regression,1,o3_roll_mean_6h,-1.9888241043456891,1.9888241043456891
linear_regression,1,o3_roll_mean_24h,3.587180732826463,3.587180732826463
linear_regression,1,o3_roll_std_6h,0.39454807492124305,0.39454807492124305
linear_regression,1,o3_roll_std_24h,0.4872314865116132,0.4872314865116132
linear_regression,1,o3_roll_max_24h,-0.4224334312485061,0.4224334312485061
linear_regression,1,o3_roll_missing_ratio_24h,0.056540789140336556,0.056540789140336556
linear_regression,4,target_hour_sin,-2.957372227359477,2.957372227359477
linear_regression,4,target_hour_cos,-3.8844647113126234,3.8844647113126234
linear_regression,4,target_dayofweek_sin,0.7769175818341966,0.7769175818341966
linear_regression,4,target_dayofweek_cos,-0.8304037633881934,0.8304037633881934
linear_regression,4,target_month_sin,0.9271854789450765,0.9271854789450765
linear_regression,4,target_month_cos,-1.3062854684431466,1.3062854684431466
linear_regression,4,target_is_weekend,2.73984884576588,2.73984884576588
