timestamp,o3,o3_diff_1h,abs_o3_diff_1h
2025-08-10 12:00:00,93.0,80.0,80.0
2023-08-23 12:00:00,111.0,67.0,67.0
2024-05-09 07:00:00,15.0,-64.0,64.0
2024-09-16 21:00:00,24.0,-62.0,62.0
2022-07-10 12:00:00,97.0,61.0,61.0
2025-08-16 10:00:00,112.0,59.0,59.0
2025-08-12 19:00:00,20.0,-59.0,59.0
2025-05-14 00:00:00,92.0,55.0,55.0
2024-05-12 14:00:00,75.0,54.0,54.0
2025-07-05 09:00:00,102.0,54.0,54.0
2022-04-30 04:00:00,3.0,-53.0,53.0
2025-06-28 11:00:00,58.0,-53.0,53.0
2023-08-20 12:00:00,81.0,53.0,53.0
2022-07-11 06:00:00,27.0,-53.0,53.0
2022-07-09 12:00:00,97.0,53.0,53.0
2023-05-30 18:00:00,33.0,-53.0,53.0
2025-07-06 08:00:00,93.0,53.0,53.0
2025-06-12 05:00:00,27.0,-52.0,52.0
2025-04-09 09:00:00,83.0,52.0,52.0
2025-04-05 19:00:00,31.0,-51.0,51.0
2024-03-16 12:00:00,79.0,51.0,51.0
2025-06-01 11:00:00,78.0,51.0,51.0
2024-08-18 11:00:00,86.0,50.0,50.0
2023-08-11 09:00:00,55.0,50.0,50.0
2024-04-12 13:00:00,66.0,50.0,50.0
2024-07-29 13:00:00,92.0,50.0,50.0
2025-06-28 12:00:00,107.0,49.0,49.0
2021-06-14 04:00:00,66.0,49.0,49.0
2025-11-12 12:00:00,58.0,49.0,49.0
2023-03-07 22:00:00,61.0,49.0,49.0
