horizon,split,origin_timestamp,target_timestamp,y_true,y_pred,model,baseline_rule,baseline_source_timestamp,source_lag_from_origin_h,is_evaluable,residual,abs_error,squared_error,model_display,method,alpha,nominal_coverage,q_hat,lower,upper,interval_width,covered,miss_lower,miss_upper,interval_score
24,validation,2024-02-29 11:00:00,2024-03-01 11:00:00,49.0,32.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 11:00:00,0.0,True,17.0,17.0,289.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,5.0,59.0,54.0,True,False,False,54.0
24,validation,2024-02-29 12:00:00,2024-03-01 12:00:00,54.0,36.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 12:00:00,0.0,True,18.0,18.0,324.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,9.0,63.0,54.0,True,False,False,54.0
24,validation,2024-02-29 13:00:00,2024-03-01 13:00:00,62.0,42.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 13:00:00,0.0,True,20.0,20.0,400.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,15.0,69.0,54.0,True,False,False,54.0
24,validation,2024-02-29 14:00:00,2024-03-01 14:00:00,63.0,54.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 14:00:00,0.0,True,9.0,9.0,81.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,27.0,81.0,54.0,True,False,False,54.0
24,validation,2024-02-29 15:00:00,2024-03-01 15:00:00,62.0,65.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 15:00:00,0.0,True,-3.0,3.0,9.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,38.0,92.0,54.0,True,False,False,54.0
24,validation,2024-02-29 16:00:00,2024-03-01 16:00:00,65.0,64.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 16:00:00,0.0,True,1.0,1.0,1.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,37.0,91.0,54.0,True,False,False,54.0
24,validation,2024-02-29 17:00:00,2024-03-01 17:00:00,61.0,67.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 17:00:00,0.0,True,-6.0,6.0,36.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,40.0,94.0,54.0,True,False,False,54.0
24,validation,2024-02-29 18:00:00,2024-03-01 18:00:00,64.0,61.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 18:00:00,0.0,True,3.0,3.0,9.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,34.0,88.0,54.0,True,False,False,54.0
24,validation,2024-02-29 19:00:00,2024-03-01 19:00:00,57.0,51.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 19:00:00,0.0,True,6.0,6.0,36.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,24.0,78.0,54.0,True,False,False,54.0
24,validation,2024-02-29 20:00:00,2024-03-01 20:00:00,36.0,48.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 20:00:00,0.0,True,-12.0,12.0,144.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,21.0,75.0,54.0,True,False,False,54.0
24,validation,2024-02-29 21:00:00,2024-03-01 21:00:00,29.0,44.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 21:00:00,0.0,True,-15.0,15.0,225.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,17.0,71.0,54.0,True,False,False,54.0
24,validation,2024-02-29 22:00:00,2024-03-01 22:00:00,50.0,42.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 22:00:00,0.0,True,8.0,8.0,64.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,15.0,69.0,54.0,True,False,False,54.0
24,validation,2024-02-29 23:00:00,2024-03-01 23:00:00,48.0,47.0,baseline_seasonal_naive,same_hour_previous_day,2024-02-29 23:00:00,0.0,True,1.0,1.0,1.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,20.0,74.0,54.0,True,False,False,54.0
24,validation,2024-03-01 00:00:00,2024-03-02 00:00:00,47.0,48.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 00:00:00,0.0,True,-1.0,1.0,1.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,21.0,75.0,54.0,True,False,False,54.0
24,validation,2024-03-01 01:00:00,2024-03-02 01:00:00,43.0,55.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 01:00:00,0.0,True,-12.0,12.0,144.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,28.0,82.0,54.0,True,False,False,54.0
24,validation,2024-03-01 02:00:00,2024-03-02 02:00:00,42.0,54.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 02:00:00,0.0,True,-12.0,12.0,144.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,27.0,81.0,54.0,True,False,False,54.0
24,validation,2024-03-01 03:00:00,2024-03-02 03:00:00,49.0,62.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 03:00:00,0.0,True,-13.0,13.0,169.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,35.0,89.0,54.0,True,False,False,54.0
24,validation,2024-03-01 04:00:00,2024-03-02 04:00:00,49.0,56.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 04:00:00,0.0,True,-7.0,7.0,49.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,29.0,83.0,54.0,True,False,False,54.0
24,validation,2024-03-01 05:00:00,2024-03-02 05:00:00,52.0,54.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 05:00:00,0.0,True,-2.0,2.0,4.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,27.0,81.0,54.0,True,False,False,54.0
24,validation,2024-03-01 06:00:00,2024-03-02 06:00:00,42.0,59.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 06:00:00,0.0,True,-17.0,17.0,289.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,32.0,86.0,54.0,True,False,False,54.0
24,validation,2024-03-01 07:00:00,2024-03-02 07:00:00,36.0,52.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 07:00:00,0.0,True,-16.0,16.0,256.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,25.0,79.0,54.0,True,False,False,54.0
24,validation,2024-03-01 08:00:00,2024-03-02 08:00:00,31.0,46.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 08:00:00,0.0,True,-15.0,15.0,225.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,19.0,73.0,54.0,True,False,False,54.0
24,validation,2024-03-01 09:00:00,2024-03-02 09:00:00,40.0,50.0,baseline_seasonal_naive,same_hour_previous_day,2024-03-01 09:00:00,0.0,True,-10.0,10.0,100.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,23.0,77.0,54.0,True,False,False,54.0
