horizon,split,origin_timestamp,target_timestamp,y_true,y_pred,model,baseline_rule,baseline_source_timestamp,source_lag_from_origin_h,is_evaluable,residual,abs_error,squared_error,model_display,method,alpha,nominal_coverage,q_hat,lower,upper,interval_width,covered,miss_lower,miss_upper,interval_score
1,validation,2023-12-31 23:00:00,2024-01-01 00:00:00,5.0,5.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 00:00:00,23.0,True,0.0,0.0,0.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-22.0,32.0,54.0,True,False,False,54.0
1,validation,2024-01-01 00:00:00,2024-01-01 01:00:00,10.0,9.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 01:00:00,23.0,True,1.0,1.0,1.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-18.0,36.0,54.0,True,False,False,54.0
1,validation,2024-01-01 01:00:00,2024-01-01 02:00:00,6.0,17.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 02:00:00,23.0,True,-11.0,11.0,121.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-10.0,44.0,54.0,True,False,False,54.0
1,validation,2024-01-01 02:00:00,2024-01-01 03:00:00,2.0,17.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 03:00:00,23.0,True,-15.0,15.0,225.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-10.0,44.0,54.0,True,False,False,54.0
1,validation,2024-01-01 03:00:00,2024-01-01 04:00:00,2.0,15.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 04:00:00,23.0,True,-13.0,13.0,169.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-12.0,42.0,54.0,True,False,False,54.0
1,validation,2024-01-01 04:00:00,2024-01-01 05:00:00,3.0,34.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 05:00:00,23.0,True,-31.0,31.0,961.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,7.0,61.0,54.0,False,True,False,94.0
1,validation,2024-01-01 05:00:00,2024-01-01 06:00:00,7.0,38.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 06:00:00,23.0,True,-31.0,31.0,961.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,11.0,65.0,54.0,False,True,False,94.0
1,validation,2024-01-01 06:00:00,2024-01-01 07:00:00,12.0,28.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 07:00:00,23.0,True,-16.0,16.0,256.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,1.0,55.0,54.0,True,False,False,54.0
1,validation,2024-01-01 07:00:00,2024-01-01 08:00:00,23.0,33.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 08:00:00,23.0,True,-10.0,10.0,100.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,6.0,60.0,54.0,True,False,False,54.0
1,validation,2024-01-01 08:00:00,2024-01-01 09:00:00,19.0,17.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 09:00:00,23.0,True,2.0,2.0,4.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-10.0,44.0,54.0,True,False,False,54.0
1,validation,2024-01-01 09:00:00,2024-01-01 10:00:00,27.0,27.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 10:00:00,23.0,True,0.0,0.0,0.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,0.0,54.0,54.0,True,False,False,54.0
1,validation,2024-01-01 10:00:00,2024-01-01 11:00:00,26.0,32.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 11:00:00,23.0,True,-6.0,6.0,36.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,5.0,59.0,54.0,True,False,False,54.0
1,validation,2024-01-01 11:00:00,2024-01-01 12:00:00,33.0,31.0,baseline_seasonal_naive,same_hour_previous_day,2023-12-31 12:00:00,23.0,True,2.0,2.0,4.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,4.0,58.0,54.0,True,False,False,54.0
