horizon,split,origin_timestamp,target_timestamp,y_true,y_pred,model,baseline_rule,baseline_source_timestamp,source_lag_from_origin_h,is_evaluable,residual,abs_error,squared_error,model_display,method,alpha,nominal_coverage,q_hat,lower,upper,interval_width,covered,miss_lower,miss_upper,interval_score,method_display,label,short_name,color,y_pred_reference,lower_quantile,upper_quantile,q_level,y_pred_quantile_median,y_pred_mapie,lower_prelim,upper_prelim,raw_interval_width,y_pred_point,_horizon_num,point_pred,interval_lower,interval_upper
24,validation,2024-08-06 00:00:00,2024-08-07 00:00:00,57.0,68.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 00:00:00,0.0,True,-11.0,11.0,121.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,41.0,95.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,68.0,,,,,,,,,,24,68.0,41.0,95.0
24,validation,2024-08-06 01:00:00,2024-08-07 01:00:00,55.0,69.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 01:00:00,0.0,True,-14.0,14.0,196.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,42.0,96.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,69.0,,,,,,,,,,24,69.0,42.0,96.0
24,validation,2024-08-06 02:00:00,2024-08-07 02:00:00,52.0,75.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 02:00:00,0.0,True,-23.0,23.0,529.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,48.0,102.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,75.0,,,,,,,,,,24,75.0,48.0,102.0
24,validation,2024-08-06 03:00:00,2024-08-07 03:00:00,46.0,66.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 03:00:00,0.0,True,-20.0,20.0,400.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,39.0,93.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,66.0,,,,,,,,,,24,66.0,39.0,93.0
24,validation,2024-08-06 04:00:00,2024-08-07 04:00:00,44.0,53.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 04:00:00,0.0,True,-9.0,9.0,81.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,26.0,80.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,53.0,,,,,,,,,,24,53.0,26.0,80.0
24,validation,2024-08-06 05:00:00,2024-08-07 05:00:00,43.0,54.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 05:00:00,0.0,True,-11.0,11.0,121.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,27.0,81.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,54.0,,,,,,,,,,24,54.0,27.0,81.0
24,validation,2024-08-06 06:00:00,2024-08-07 06:00:00,24.0,56.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 06:00:00,0.0,True,-32.0,32.0,1024.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,29.0,83.0,54.0,False,True,False,104.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,56.0,,,,,,,,,,24,56.0,29.0,83.0
24,validation,2024-08-06 07:00:00,2024-08-07 07:00:00,7.0,28.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 07:00:00,0.0,True,-21.0,21.0,441.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,1.0,55.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,28.0,,,,,,,,,,24,28.0,1.0,55.0
24,validation,2024-08-06 08:00:00,2024-08-07 08:00:00,29.0,55.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 08:00:00,0.0,True,-26.0,26.0,676.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,28.0,82.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,55.0,,,,,,,,,,24,55.0,28.0,82.0
24,validation,2024-08-06 09:00:00,2024-08-07 09:00:00,37.0,45.0,baseline_seasonal_naive,same_hour_previous_day,2024-08-06 09:00:00,0.0,True,-8.0,8.0,64.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,18.0,72.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,45.0,,,,,,,,,,24,45.0,18.0,72.0
