column,n_missing,horizon,missing_ratio
target_hour_sin,0,1,0.0
target_hour_cos,0,1,0.0
target_dayofweek_sin,0,1,0.0
target_dayofweek_cos,0,1,0.0
target_month_sin,0,1,0.0
target_month_cos,0,1,0.0
target_is_weekend,0,1,0.0
o3_at_origin,218,1,0.004279460552403761
o3_lag_1h,365,1,0.007165151842327399
o3_lag_2h,472,1,0.009265621012543924
o3_lag_3h,550,1,0.010796804145972791
o3_lag_6h,660,1,0.01295616497516735
o3_lag_12h,812,1,0.015940009030054377
o3_prev_day_same_hour,1048,1,0.020572819536326337
o3_target_lag_48h,1379,1,0.02707053257690269
o3_roll_mean_6h,36,1,0.0007066999077364009
o3_roll_mean_24h,22,1,0.0004318721658389117
o3_roll_std_6h,96,1,0.0018845330872970692
o3_roll_std_24h,46,1,0.0009030054376631789
o3_roll_max_24h,22,1,0.0004318721658389117
o3_roll_missing_ratio_24h,0,1,0.0
target_hour_sin,0,4,0.0
target_hour_cos,0,4,0.0
target_dayofweek_sin,0,4,0.0
target_dayofweek_cos,0,4,0.0
target_month_sin,0,4,0.0
target_month_cos,0,4,0.0
target_is_weekend,0,4,0.0
o3_at_origin,547,4,0.010738544897718796
o3_lag_1h,594,4,0.011661235227138874
o3_lag_2h,630,4,0.012367976756056382
o3_lag_3h,657,4,0.012898032902744513
o3_lag_6h,733,4,0.014390042797125918
o3_lag_12h,879,4,0.017256272331069144
o3_prev_day_same_hour,1045,4,0.020515136047744315
o3_target_lag_48h,1376,4,0.027013231771958066
o3_roll_mean_6h,117,4,0.0022969099689818997
o3_roll_mean_24h,76,4,0.0014920098943814047
o3_roll_std_6h,187,4,0.0036711296085437197
o3_roll_std_24h,109,4,0.00213985629588912
o3_roll_max_24h,76,4,0.0014920098943814047
o3_roll_missing_ratio_24h,0,4,0.0
target_hour_sin,0,12,0.0
target_hour_cos,0,12,0.0
target_dayofweek_sin,0,12,0.0
target_dayofweek_cos,0,12,0.0
target_month_sin,0,12,0.0
target_month_cos,0,12,0.0
target_is_weekend,0,12,0.0
o3_at_origin,775,12,0.015216964461024936
o3_lag_1h,801,12,0.015727469075201256
o3_lag_2h,827,12,0.01623797368937758
o3_lag_3h,849,12,0.016669939132142157
o3_lag_6h,914,12,0.017946200667582957
o3_lag_12h,1037,12,0.02036128018849401
o3_target_lag_48h,1368,12,0.02686039662281563
o3_roll_mean_6h,302,12,0.0059297074415864915
o3_roll_mean_24h,177,12,0.003475358334969566
o3_roll_std_6h,374,12,0.00734341252699784
o3_roll_std_24h,221,12,0.004339289220498724
o3_roll_max_24h,177,12,0.003475358334969566
o3_roll_missing_ratio_24h,0,12,0.0
target_hour_sin,0,24,0.0
target_hour_cos,0,24,0.0
target_dayofweek_sin,0,24,0.0
target_dayofweek_cos,0,24,0.0
target_month_sin,0,24,0.0
target_month_cos,0,24,0.0
target_is_weekend,0,24,0.0
o3_at_origin,1025,24,0.02013040575042225
o3_lag_1h,1049,24,0.020601751836285792
o3_lag_2h,1074,24,0.021092737342393652
o3_lag_3h,1092,24,0.02144624690679131
o3_lag_6h,1144,24,0.02246749675949566
o3_lag_12h,1232,24,0.024195765740995325
o3_target_lag_48h,1356,24,0.02663105385129031
o3_roll_mean_6h,536,24,0.010526729250952513
o3_roll_mean_24h,295,24,0.005793628972072745
o3_roll_std_6h,620,24,0.01217644055147492
o3_roll_std_24h,350,24,0.006873797085510036
o3_roll_max_24h,295,24,0.005793628972072745
o3_roll_missing_ratio_24h,0,24,0.0
